Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,134.000000,152.250000,131.600006,151.750000,151.750000,221394940
2021-06-09,156.000000,166.899994,138.500000,152.350006,152.350006,192437396
2021-06-10,157.350006,164.000000,153.000000,154.100006,154.100006,57693663
2021-06-11,159.000000,159.500000,147.000000,148.300003,148.300003,34259683
2021-06-14,140.899994,140.899994,140.899994,140.899994,140.899994,2129919
2021-06-15,133.899994,138.000000,133.899994,133.899994,133.899994,5925109
2021-06-16,127.250000,127.250000,127.250000,127.250000,127.250000,803896
2021-06-17,120.900002,120.900002,120.900002,120.900002,120.900002,619476
2021-06-18,114.900002,114.900002,114.900002,114.900002,114.900002,1711957
2021-06-21,109.199997,120.599998,109.199997,120.599998,120.599998,12143239
2021-06-22,125.750000,126.599998,124.000000,126.599998,126.599998,4083674
2021-06-23,132.899994,132.899994,120.300003,125.949997,125.949997,15105797
2021-06-24,125.949997,126.000000,119.699997,119.699997,119.699997,6320082
2021-06-25,115.050003,121.400002,114.000000,116.750000,116.750000,4588667
2021-06-28,113.500000,121.000000,111.199997,118.199997,118.199997,5385825
2021-06-29,119.400002,119.800003,116.000000,116.300003,116.300003,2687722
2021-06-30,116.500000,117.900002,112.500000,113.449997,113.449997,3724046
2021-07-01,113.449997,115.000000,107.800003,107.800003,107.800003,6780446
2021-07-02,102.449997,111.949997,102.449997,109.400002,109.400002,6817595
2021-07-05,110.000000,111.400002,105.000000,106.800003,106.800003,4543973
2021-07-06,105.500000,112.099998,103.199997,111.900002,111.900002,6847388
2021-07-07,110.650002,110.900002,107.000000,109.800003,109.800003,3037009
2021-07-08,109.800003,110.599998,107.099998,108.750000,108.750000,2375171
2021-07-09,108.849998,110.949997,107.000000,109.550003,109.550003,2249268
2021-07-12,110.650002,110.949997,108.000000,108.199997,108.199997,1987553
2021-07-13,109.000000,109.800003,106.050003,106.750000,106.750000,2049450
2021-07-14,107.800003,108.500000,104.800003,105.050003,105.050003,2239191
2021-07-15,105.050003,106.000000,103.250000,104.099998,104.099998,2351596
2021-07-16,104.099998,107.900002,102.000000,105.650002,105.650002,3420046
2021-07-19,105.650002,107.750000,100.449997,102.150002,102.150002,5073034
2021-07-20,97.050003,98.800003,97.050003,97.050003,97.050003,4880468
2021-07-22,92.199997,101.900002,92.199997,101.800003,101.800003,6077944
2021-07-23,101.449997,104.599998,97.199997,100.449997,100.449997,3575596
2021-07-26,100.449997,100.500000,97.550003,97.949997,97.949997,1603624
2021-07-27,97.000000,97.650002,94.050003,94.750000,94.750000,2641412
2021-07-28,94.750000,98.900002,91.500000,97.050003,97.050003,2816313
2021-07-29,98.449997,98.500000,95.050003,95.400002,95.400002,1394213
2021-07-30,95.199997,97.000000,94.000000,95.849998,95.849998,1305492
2021-08-02,96.500000,97.849998,91.900002,92.849998,92.849998,6512680
2021-08-03,94.500000,96.300003,91.300003,91.849998,91.849998,6522676
2021-08-04,93.599998,94.000000,90.000000,90.250000,90.250000,5287541
2021-08-05,92.000000,92.949997,87.000000,88.150002,88.150002,4137929
2021-08-06,92.199997,92.550003,89.099998,92.550003,92.550003,4321632
2021-08-09,94.699997,95.500000,89.550003,90.349998,90.349998,3385305
2021-08-10,91.000000,91.349998,85.849998,85.849998,85.849998,3720177
2021-08-11,81.800003,85.000000,81.599998,83.400002,83.400002,5352153
2021-08-12,81.900002,86.800003,81.099998,85.000000,85.000000,3362033
2021-08-13,86.449997,86.599998,84.599998,84.949997,84.949997,1778246
2021-08-16,84.900002,84.949997,82.199997,83.050003,83.050003,1696098
2021-08-17,83.000000,83.300003,78.949997,79.949997,79.949997,4691295
2021-08-18,79.949997,80.000000,76.500000,77.300003,77.300003,5336843
2021-08-20,75.250000,79.699997,74.150002,77.449997,77.449997,3749024
2021-08-23,77.449997,78.000000,73.599998,73.599998,73.599998,3332697
2021-08-24,72.000000,77.250000,70.349998,77.250000,77.250000,3646028
2021-08-25,81.099998,81.099998,79.000000,81.099998,81.099998,1798861
2021-08-26,85.150002,85.150002,85.150002,85.150002,85.150002,817482
2021-08-27,89.400002,89.400002,85.150002,89.400002,89.400002,8789561
2021-08-30,91.300003,93.849998,90.000000,93.849998,93.849998,5143549
2021-08-31,98.000000,98.500000,96.000000,98.500000,98.500000,8076627
2021-09-01,102.000000,103.400002,101.050003,103.400002,103.400002,3851699
2021-09-02,108.550003,108.550003,106.500000,108.550003,108.550003,6101614
2021-09-03,113.250000,113.250000,103.150002,103.150002,103.150002,11600826
2021-09-06,98.000000,102.150002,98.000000,98.000000,98.000000,4785158
2021-09-07,95.300003,96.000000,93.099998,93.099998,93.099998,2760591
2021-09-08,90.000000,97.750000,89.199997,97.750000,97.750000,3440441
2021-09-09,100.000000,102.599998,95.550003,102.550003,102.550003,6156828
2021-09-13,100.000000,101.900002,98.300003,100.550003,100.550003,3776218
2021-09-14,99.000000,102.000000,97.849998,99.199997,99.199997,2729725
2021-09-15,99.900002,101.500000,98.000000,99.500000,99.500000,3005710
2021-09-16,100.349998,100.400002,98.199997,98.550003,98.550003,1989457
2021-09-17,99.400002,101.000000,95.750000,100.449997,100.449997,4712250
2021-09-20,96.050003,98.550003,95.449997,95.449997,95.449997,5452646
2021-09-21,93.599998,96.400002,91.050003,94.550003,94.550003,3703371
2021-09-22,95.000000,97.500000,94.849998,95.900002,95.900002,2908802
2021-09-23,96.900002,98.750000,95.699997,97.050003,97.050003,4723835
2021-09-24,98.000000,98.400002,95.500000,95.849998,95.849998,3425363
2021-09-27,96.000000,98.500000,95.000000,97.000000,97.000000,4218958
2021-09-28,97.449997,97.750000,95.150002,96.000000,96.000000,3445198
2021-09-29,95.699997,100.800003,94.400002,98.300003,98.300003,12121578
2021-09-30,99.250000,99.400002,96.900002,97.099998,97.099998,5402480
2021-10-01,96.000000,99.000000,95.000000,96.949997,96.949997,3799113
2021-10-04,97.849998,101.750000,97.500000,101.750000,101.750000,16213791
2021-10-05,102.800003,106.800003,101.750000,106.500000,106.500000,18388056
2021-10-06,107.300003,108.900002,101.199997,101.550003,101.550003,12067633
2021-10-07,102.300003,104.800003,101.550003,101.949997,101.949997,5122515
2021-10-08,102.900002,103.449997,101.000000,101.599998,101.599998,4269144
2021-10-11,103.000000,104.750000,101.000000,101.849998,101.849998,6211799
2021-10-12,102.900002,103.400002,101.199997,101.650002,101.650002,4336792
2021-10-13,102.400002,106.699997,101.800003,106.699997,106.699997,10940656
2021-10-14,108.449997,112.000000,107.500000,112.000000,112.000000,11126786
2021-10-18,118.449997,123.199997,117.150002,123.199997,123.199997,7932757
2021-10-19,133.449997,135.500000,115.099998,124.849998,124.849998,71805365
2021-10-20,122.199997,128.000000,115.000000,120.900002,120.900002,20580766
2021-10-21,122.949997,126.500000,120.000000,123.199997,123.199997,10458639
2021-10-22,120.000000,123.000000,117.050003,117.050003,117.050003,3651239
2021-10-25,113.750000,113.750000,111.199997,111.199997,111.199997,1191842
2021-10-26,107.500000,116.400002,105.650002,112.199997,112.199997,4052277
2021-10-27,112.000000,113.849998,107.699997,108.750000,108.750000,2487138
2021-10-28,109.000000,109.949997,103.349998,103.449997,103.449997,5060983
2021-10-29,103.449997,106.800003,99.000000,100.500000,100.500000,3679241
2021-11-01,98.150002,104.400002,98.000000,102.849998,102.849998,4693977
2021-11-02,104.699997,105.199997,102.099998,104.099998,104.099998,3240056
2021-11-03,104.900002,104.900002,101.300003,103.250000,103.250000,2976676
2021-11-04,105.199997,106.500000,104.750000,105.400002,105.400002,1680073
2021-11-08,106.199997,106.199997,103.000000,104.500000,104.500000,3433737
2021-11-09,104.400002,109.699997,104.150002,109.699997,109.699997,8696567
2021-11-10,111.000000,113.699997,109.050003,110.150002,110.150002,7831137
2021-11-11,110.800003,111.599998,107.349998,108.099998,108.099998,3830677
2021-11-12,109.199997,110.699997,107.000000,108.449997,108.449997,5006556
2021-11-15,110.250000,110.250000,104.750000,107.150002,107.150002,3084563
2021-11-16,107.599998,109.800003,106.250000,106.750000,106.750000,2919587
2021-11-17,106.500000,107.699997,104.000000,104.300003,104.300003,4122988
2021-11-18,105.000000,105.800003,101.400002,102.900002,102.900002,3970297
2021-11-22,102.900002,103.250000,98.800003,100.949997,100.949997,3723327
2021-11-23,100.599998,105.949997,98.650002,105.949997,105.949997,3987471
2021-11-24,107.000000,109.699997,105.400002,105.900002,105.900002,6009879
2021-11-25,106.449997,107.000000,103.599998,105.050003,105.050003,3974953
2021-11-26,104.050003,104.300003,101.000000,101.250000,101.250000,4336484
2021-11-29,100.000000,101.000000,93.599998,98.400002,98.400002,4625241
2021-11-30,100.500000,103.199997,99.000000,99.349998,99.349998,3469788
2021-12-01,102.000000,102.000000,99.699997,101.250000,101.250000,2428583
2021-12-02,100.800003,102.000000,100.400002,101.750000,101.750000,2745370
